file,folder,relpath,date,material,sample,zone,site,kind,rep,label,run,PL_WS2_peak_eV,PL_WS2_peak_nm,PL_WS2_Imax,PL_WS2_fwhm_meV,label_parsed,label_vs_fit_diff,Si_pos_raw,calib_shift,WS2_2LA_E2g_raw,WS2_2LA_E2g_cal,WS2_2LA_E2g_fwhm,WS2_2LA_E2g_height,WS2_A1g_raw,WS2_A1g_cal,WS2_A1g_fwhm,WS2_A1g_height,WS2_I2LA_over_IA1g,PL_MoS2_peak_eV,PL_MoS2_peak_nm,PL_MoS2_Imax,PL_MoS2_fwhm_meV,MoS2_E2g_raw,MoS2_E2g_cal,MoS2_E2g_fwhm,MoS2_E2g_height,MoS2_A1g_raw,MoS2_A1g_cal,MoS2_A1g_fwhm,MoS2_A1g_height,MoS2_delta,MoS2_layers_est,MoS2_A1g_over_Si
260220 WS2 #1 Z3-2 PL (2L).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z3-2 PL (2L).txt,260220,WS2,1,Z3,2,PL,1,2L,260220 WS2 #1,2.046,605.947,2208.503,75.813,2L,,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z3-2 PL_2 (2L).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z3-2 PL_2 (2L).txt,260220,WS2,1,Z3,2,PL,2,2L,260220 WS2 #1,2.047,605.781,2205.582,75.716,2L,,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z3-2 Raman (417.85).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z3-2 Raman (417.85).txt,260220,WS2,1,Z3,2,Raman,1,417.85,260220 WS2 #1,,,,,A1g=417.85,-0.702,519.644,1.056,351.721,352.777,13.28,1517.869,417.148,418.204,7.896,210.809,7.2,,,,,,,,,,,,,,,
260220 WS2 #1 Z3-2 Raman_2 (418.84).txt,260220 [WS2],260220 [WS2]\260220 WS2 #1 Z3-2 Raman_2 (418.84).txt,260220,WS2,1,Z3,2,Raman,2,418.84,260220 WS2 #1,,,,,A1g=418.84,-1.112,519.544,1.156,351.327,352.483,13.075,1813.815,417.728,418.885,9.145,358.588,5.058,,,,,,,,,,,,,,,
260220 WS2 #1 Z2-2 PL (1~2L).txt,260223-2 [WS2],260223-2 [WS2]\260220 WS2 #1 Z2-2 PL (1~2L).txt,260220,WS2,1,Z2,2,PL,1,1~2L,260220 WS2 #1,2.051,604.618,6398.323,69.364,1~2L,,,,,,,,,,,,,,,,,,,,,,,,,,,
260220 WS2 #1 Z2-2 Raman (419.55).txt,260223-2 [WS2],260223-2 [WS2]\260220 WS2 #1 Z2-2 Raman (419.55).txt,260220,WS2,1,Z2,2,Raman,1,419.55,260220 WS2 #1,,,,,A1g=419.55,-2.809,518.972,1.728,351.397,353.125,12.297,1849.505,416.741,418.469,8.214,275.066,6.724,,,,,,,,,,,,,,,
260223 WS2 #1 Z1-1 PL (~x).txt,260223-2 [WS2],260223-2 [WS2]\260223 WS2 #1 Z1-1 PL (~x).txt,260223,WS2,1,Z1,1,PL,1,~x,260223 WS2 #1,2.057,602.634,683.224,89.768,no-peak,,,,,,,,,,,,,,,,,,,,,,,,,,,
260223 WS2 #1 Z1-1 Raman (418.7).txt,260223-2 [WS2],260223-2 [WS2]\260223 WS2 #1 Z1-1 Raman (418.7).txt,260223,WS2,1,Z1,1,Raman,1,418.7,260223 WS2 #1,,,,,A1g=418.7,-2.446,518.546,2.154,351.528,353.682,13.04,517.959,416.254,418.408,8.264,77.001,6.727,,,,,,,,,,,,,,,
260223 WS2 #1 Z1-2 PL (~x).txt,260223-2 [WS2],260223-2 [WS2]\260223 WS2 #1 Z1-2 PL (~x).txt,260223,WS2,1,Z1,2,PL,1,~x,260223 WS2 #1,2.085,594.668,580.01,94.732,no-peak,,,,,,,,,,,,,,,,,,,,,,,,,,,
260223 WS2 #1 Z1-2 Raman (418.7).txt,260223-2 [WS2],260223-2 [WS2]\260223 WS2 #1 Z1-2 Raman (418.7).txt,260223,WS2,1,Z1,2,Raman,1,418.7,260223 WS2 #1,,,,,A1g=418.7,-2.557,518.27,2.43,351.021,353.452,13.767,681.706,416.143,418.573,8.832,97.115,7.02,,,,,,,,,,,,,,,
260224 MoS2 #1 Z1-1_PL.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z1-1_PL.txt,260224,MoS2,1,Z1,1,PL,1,,260224 MoS2 #1,,,,,,,,,,,,,,,,,,1.93,642.318,1957.435,87.636,,,,,,,,,,,
260224 MoS2 #1 Z1-1_Raman.txt,260225 [MoS2],260225 [MoS2]\260224 MoS2 #1 Z1-1_Raman.txt,260224,MoS2,1,Z1,1,Raman,1,,260224 MoS2 #1,,,,,,,518.492,2.208,,,,,,,,,,,,,,383.487,385.695,6.289,17.498,404.77,406.978,7.741,57.467,21.283,1-2L,0.064
